item_id,name,category,price,link,short_description,designer,basic_color,furniture
365924,NORDLI,Chests of drawers & drawer units,240,https://www.ikea.com/sa/en/p/nordli-modular-chest-of-2-drawers-anthracite-00365924/,"        Modular chest of 2 drawers,          40x45 cm",Ola Wihlborg,other,other
59211760,NORDLI,Chests of drawers & drawer units,980,https://www.ikea.com/sa/en/p/nordli-chest-of-6-drawers-white-anthracite-s59211760/,"        Chest of 6 drawers,          80x99 cm",Ola Wihlborg,white,other
79239503,NORDLI,Chests of drawers & drawer units,1320,https://www.ikea.com/sa/en/p/nordli-chest-of-8-drawers-white-s79239503/,"        Chest of 8 drawers,          120x99 cm",Ola Wihlborg,white,other
9248006,NORDLI,Chests of drawers & drawer units,1080,https://www.ikea.com/sa/en/p/nordli-chest-of-7-drawers-white-s09248006/,"        Chest of 7 drawers,          80x99 cm",Ola Wihlborg,white,other
79211759,NORDLI,Chests of drawers & drawer units,1320,https://www.ikea.com/sa/en/p/nordli-chest-of-8-drawers-white-anthracite-s79211759/,"        Chest of 8 drawers,          120x99 cm",Ola Wihlborg,white,other
10460888,SMÅGÖRA,Children's furniture,495,https://www.ikea.com/sa/en/p/smagoera-wardrobe-white-10460888/,"        Wardrobe,          80x50x187 cm",IKEA of Sweden,white,wardrobe
39337911,POÄNG,Children's furniture,179,https://www.ikea.com/sa/en/p/poaeng-childrens-armchair-birch-veneer-almas-beige-s39337911/,        Children's armchair,Noboru Nakamura,brown,chair
19338054,TROFAST,Children's furniture,245,https://www.ikea.com/sa/en/p/trofast-storage-combination-light-white-stained-pine-white-pink-s19338054/,"        Storage combination,          44x30x91 cm",Studio Copenhagen,white,other
59337670,LOBERGET / SIBBEN,Children's furniture,95,https://www.ikea.com/sa/en/p/loberget-sibben-childrens-desk-chair-white-s59337670/,        Children's desk chair,593.376.70 Height adjustable children's desk chair which you can swivel to the desired height.You sit comfortably since the chair is adjustable in height.May be completed with KOLON floor protector.This product has been tested for domestic use.Recommended for ages 7 – 12 years.,white,desk
50178411,LÄTT,Children's furniture,135,https://www.ikea.com/sa/en/p/laett-childrens-table-with-2-chairs-white-pine-50178411/,        Children's table with 2 chairs,IKEA of Sweden,white,chair
50365177,MAMMUT,Children's furniture,129,https://www.ikea.com/sa/en/p/mammut-childrens-table-in-outdoor-white-50365177/,"        Children's table,          77x55 cm",M Kjelstrup/A Östgaard,white,table
40365371,MAMMUT,Children's furniture,59,https://www.ikea.com/sa/en/p/mammut-childrens-chair-in-outdoor-white-40365371/,        Children's chair,M Kjelstrup/A Östgaard,white,chair
80382321,MAMMUT,Children's furniture,59,https://www.ikea.com/sa/en/p/mammut-childrens-chair-in-outdoor-pink-80382321/,        Children's chair,M Kjelstrup/A Östgaard,pink,chair
90365180,MAMMUT,Children's furniture,149,https://www.ikea.com/sa/en/p/mammut-childrens-table-in-outdoor-blue-90365180/,"        Children's table,          85 cm",M Kjelstrup/A Östgaard,blue,table
80342052,CIRKUSTÄLT,Children's furniture,79,https://www.ikea.com/sa/en/p/cirkustaelt-childrens-tent-80342052/,        Children's tent,IKEA of Sweden,other,other
60357737,UTTER,Children's furniture,45,https://www.ikea.com/sa/en/p/utter-childrens-table-in-outdoor-white-60357737/,        Children's table,K Hagberg/M Hagberg,white,table
60365346,MAMMUT,Children's furniture,59,https://www.ikea.com/sa/en/p/mammut-childrens-chair-in-outdoor-blue-60365346/,        Children's chair,M Kjelstrup/A Östgaard,blue,chair
